               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.049034,            0.019711,                   0,             0.68878,             0.38298,             0.52032,             0.24796,            0.058023,            0.013887,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.052865,            0.020705,                   0,             0.50096,             0.57447,             0.58299,             0.22073,            0.054006,            0.014281,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.051663,            0.018804,                   0,             0.50096,             0.57447,             0.58299,             0.22073,            0.054006,            0.014281,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.044632,            0.021752,                   0,             0.62758,             0.61702,             0.66868,             0.32747,            0.046916,            0.014463,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.044819,            0.020369,                   0,             0.94712,              0.3812,             0.60192,             0.28468,            0.051877,            0.013527,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.048636,            0.017867,                   0,             0.65111,             0.55319,             0.63434,             0.34674,            0.051361,            0.013657,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.049326,             0.01902,                   0,             0.65111,             0.55319,             0.63434,             0.34674,            0.051361,            0.013657,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.042074,            0.019892,                   0,              0.8715,              0.6383,             0.78831,             0.49078,            0.042681,            0.013829,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.044271,            0.019658,                   0,             0.46845,             0.65632,             0.60451,             0.24914,            0.053972,            0.013461,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.052237,            0.019708,                   0,             0.94656,             0.65957,             0.83398,             0.31479,            0.043709,            0.013762,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.041339,             0.02059,                   0,             0.94656,             0.65957,             0.83398,             0.31479,            0.043709,            0.013762,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.04151,            0.020201,                   0,             0.87777,             0.68085,             0.79096,             0.37621,            0.045162,            0.013291,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.044532,            0.018879,                   0,             0.58962,             0.65957,             0.68257,             0.25825,            0.050138,            0.013051,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.048171,            0.013374,                   0,             0.54853,              0.6383,             0.67266,             0.30349,            0.042796,            0.012942,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.038093,            0.013687,                   0,             0.54853,              0.6383,             0.67266,             0.30349,            0.042796,            0.012942,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.037444,            0.019558,                   0,             0.83128,             0.68085,             0.80924,             0.39528,            0.040162,            0.012843,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.039687,            0.016019,                   0,             0.58093,              0.6383,             0.67207,             0.30758,            0.044635,            0.012193,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.044478,            0.015184,                   0,              0.6832,             0.68085,             0.76086,             0.41884,            0.039982,             0.01207,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.037167,            0.017283,                   0,              0.6832,             0.68085,             0.76086,             0.41884,            0.039982,             0.01207,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.041743,            0.015628,                   0,             0.78433,             0.70213,             0.76813,             0.49874,            0.041314,            0.011579,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.041427,            0.015821,                   0,             0.74602,             0.70213,             0.78426,             0.34519,            0.037926,            0.011423,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.041908,            0.013335,                   0,             0.72574,             0.67572,             0.70534,             0.43148,            0.041076,            0.011003,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.037073,            0.020271,                   0,             0.72574,             0.67572,             0.70534,             0.43148,            0.041076,            0.011003,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.035064,            0.016869,                   0,             0.94135,             0.70213,             0.87464,             0.55486,            0.032284,            0.010976,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.036113,            0.015105,                   0,             0.68612,              0.6977,             0.70917,             0.39704,            0.043299,            0.010243,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.037592,             0.01606,                   0,             0.87367,             0.78723,             0.91469,             0.45358,            0.032787,            0.010426,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.036324,            0.015794,                   0,             0.87367,             0.78723,             0.91469,             0.45358,            0.032787,            0.010426,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.031389,            0.016255,                   0,             0.80036,             0.76772,             0.88932,             0.52657,            0.032891,            0.010068,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.033195,            0.014357,                   0,             0.74395,             0.74468,             0.85161,             0.42791,            0.035667,           0.0098333,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.040554,            0.013374,                   0,              0.9145,             0.74468,             0.90716,             0.61883,            0.032413,           0.0096741,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.031188,             0.01246,                   0,              0.9145,             0.74468,             0.90716,             0.61883,            0.032413,           0.0096741,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.03268,            0.015876,                   0,             0.86718,             0.82979,             0.93856,             0.61551,            0.029341,           0.0095329,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.031358,             0.01257,                   0,              0.8687,              0.6383,             0.85692,               0.476,            0.034476,           0.0092554,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.035381,            0.013467,                   0,             0.88728,             0.83748,             0.94498,             0.64655,            0.027674,           0.0092659,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.029722,            0.013357,                   0,             0.88728,             0.83748,             0.94498,             0.64655,            0.027674,           0.0092659,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.03023,            0.011454,                   0,             0.90787,              0.8388,             0.95055,             0.62003,            0.028372,           0.0091486,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.032607,            0.013505,                   0,             0.92459,             0.78269,             0.92481,             0.43299,            0.031748,            0.008935,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.033283,             0.01036,                   0,             0.77647,             0.81304,             0.90593,             0.59506,            0.027246,           0.0089569,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.030901,             0.01107,                   0,             0.77647,             0.81304,             0.90593,             0.59506,            0.027246,           0.0089569,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.02745,             0.01083,                   0,             0.95962,             0.80851,             0.94939,             0.63568,            0.026208,           0.0088387,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.029296,            0.011674,                   0,             0.94232,             0.69527,             0.90799,              0.6015,            0.028778,           0.0086403,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.03336,            0.010535,                   0,             0.97473,             0.82069,             0.95901,             0.67718,            0.024846,           0.0085411,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.028435,            0.011907,                   0,             0.97473,             0.82069,             0.95901,             0.67718,            0.024846,           0.0085411,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.029813,            0.010824,                   0,             0.96839,             0.82979,             0.96009,             0.65398,            0.025186,           0.0084066,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.028122,              0.0125,                   0,             0.95003,             0.80895,             0.95306,             0.70301,            0.027774,           0.0083237,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.02829,            0.012225,                   0,              0.9321,             0.87636,             0.96772,             0.71608,            0.023312,           0.0082684,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.026122,             0.01037,                   0,              0.9321,             0.87636,             0.96772,             0.71608,            0.023312,           0.0082684,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.025294,            0.011594,                   0,             0.93159,             0.86928,             0.96658,             0.71155,            0.023291,           0.0081596,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.024418,            0.010807,                   0,              0.9727,             0.82979,             0.96232,             0.67711,            0.024077,           0.0080948,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.025829,            0.010689,                   0,             0.91129,             0.87234,             0.96871,             0.65522,            0.023886,           0.0080214,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.027332,            0.012309,                   0,             0.91129,             0.87234,             0.96871,             0.65522,            0.023886,           0.0080214,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.02486,            0.011429,                   0,             0.90778,             0.89362,             0.96921,             0.67061,            0.023613,           0.0079117,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.025741,            0.013521,                   0,             0.91469,              0.9125,             0.97241,             0.70678,            0.023835,           0.0077696,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.027677,            0.012264,                   0,             0.91736,             0.94488,             0.97468,             0.69679,            0.021957,           0.0077677,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.025577,            0.010413,                   0,             0.91736,             0.94488,             0.97468,             0.69679,            0.021957,           0.0077677,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024296,            0.010288,                   0,             0.91744,             0.94586,             0.97588,             0.70968,            0.022003,           0.0077114,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.023815,            0.010791,                   0,             0.92392,             0.93617,             0.97574,             0.72305,            0.022326,           0.0076532,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.024453,            0.011473,                   0,             0.93667,             0.94409,              0.9777,             0.71991,            0.021299,           0.0076342,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.022341,            0.012249,                   0,             0.93667,             0.94409,              0.9777,             0.71991,            0.021299,           0.0076342,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.022883,             0.01103,                   0,             0.93685,             0.94705,              0.9777,             0.71519,            0.021341,           0.0075989,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.024429,              0.0108,                   0,             0.93713,             0.95159,             0.97795,              0.7258,            0.021225,           0.0075779,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.022716,            0.013369,                   0,              0.9374,             0.95588,             0.97895,             0.74279,            0.021154,           0.0075369,                   0,            0.000298,            0.000298,            0.000298
